LN_ID,ACTG_PRD_ID,LN_AMRT_AMNT,LN_AMRT_FCTR,AGG_ACCU_AMRT_AMNT,LN_UNAM_COST_BSIS_AMNT,AGG_UNAM_COST_BSIS_AMNT
gen_anomalous_1,202401,1.637892225890033,-0.0016239780813448105,-8.36,-101.64,-101.75
gen_anomalous_1,202402,1.9070015192454641,-0.0010823379771832098,-6.46,-103.54,-103.68
gen_anomalous_1,202403,-1.6909924242923735,-0.0017336180394137354,-8.15,-101.85,-101.93
gen_anomalous_1,202404,-1.7732764648513284,-0.0027277800745684633,-9.92,-100.08,-100.08
gen_anomalous_1,202405,17.49080237694725,-0.0021649165607921677,7.57,-117.57,-117.62
gen_anomalous_1,202406,1.7805049709542524,0.002168578594140873,9.35,-119.35,-119.42
gen_anomalous_1,202407,1.535118172087101,-0.004140703845572054,10.89,-120.89,-120.99
gen_anomalous_1,202408,1.6066054190733794,-0.00336965827544817,12.49,-122.49,-122.6
gen_anomalous_1,202409,1.6975366714854796,0.0016820964947491662,14.19,-124.19,-124.26
gen_anomalous_1,202410,1.7199108627153974,-0.0037369321060486274,15.91,-125.91,-125.96
gen_anomalous_1,202411,1.7329046990549728,-0.0029807076404450806,17.64,-127.64,-127.79
gen_anomalous_1,202412,6.9963209507789,-0.0022468443043576437,24.64,-134.64,-134.68
gen_anomalous_1,202501,6.9963209507789,0.0030802720847112434,31.64,-141.64,-141.67
gen_anomalous_1,202502,6.9963209507789,-0.004878338511058234,38.63,-148.63,-148.74
gen_anomalous_1,202503,6.9963209507789,-0.004100531293444458,45.63,-155.63,-155.77
gen_anomalous_2,202401,1.194121832222836,-0.0017839314496765808,-8.81,-101.19,-101.29
gen_anomalous_2,202402,1.1468746345449101,-0.0025547091587579283,-7.66,-102.34,-102.48
gen_anomalous_2,202403,-1.123170837937543,-0.0024270133067743572,-8.78,-101.22,-101.34
gen_anomalous_2,202404,-1.0006809885675656,-0.0015636968998990505,-9.78,-100.22,-100.35
gen_anomalous_2,202405,11.76985004103839,-0.00391602867216395,1.99,-111.99,-112.13
gen_anomalous_2,202406,1.093063251781575,0.004452413703502374,3.08,-113.08,-113.16
gen_anomalous_2,202407,1.0261696751490907,-0.0012542334011440945,4.11,-114.11,-114.26
gen_anomalous_2,202408,1.066351506703236,-0.003918424713352256,5.17,-115.17,-115.21
gen_anomalous_2,202409,1.2604645460268817,0.0028888597006477973,6.43,-116.43,-116.55
gen_anomalous_2,202410,1.2131486066086024,-0.00404314019446759,7.65,-117.65,-117.71
gen_anomalous_2,202411,1.3265284293921864,-0.002975182385457563,8.97,-118.97,-119.09
gen_anomalous_2,202412,4.707940016415356,-0.0030909313175279765,13.68,-123.68,-123.76
gen_anomalous_2,202501,4.707940016415356,0.001431565707973218,18.39,-128.39,-128.49
gen_anomalous_2,202502,4.707940016415356,-0.001125716742746937,23.1,-133.1,-133.13
gen_anomalous_2,202503,4.707940016415356,-0.0030342827646588112,27.8,-137.8,-137.96
gen_anomalous_3,202401,2.7616913024848357,-0.004022204554172195,-7.24,-102.76,-102.79
gen_anomalous_3,202402,2.7342835875628673,-0.0047187906093702926,-4.5,-105.5,-105.57
gen_anomalous_3,202403,-2.8652777810046666,-0.0044858423607508705,-7.37,-102.63,-102.79
gen_anomalous_3,202404,-2.7621569274754822,-0.0045702359939599115,-10.13,-99.87,-99.99
gen_anomalous_3,202405,28.151329478521863,-0.003157368967662603,18.02,-128.02,-128.08
gen_anomalous_3,202406,2.7823667331924096,0.0019117406501677667,20.8,-130.8,-130.97
gen_anomalous_3,202407,2.7859376807696243,-0.004442922333025374,23.59,-133.59,-133.69
gen_anomalous_3,202408,2.7916742345146717,-0.002669644012595116,26.38,-136.38,-136.46
gen_anomalous_3,202409,2.7862192622051922,0.0023504606856145117,29.17,-139.17,-139.26
gen_anomalous_3,202410,2.85553803353364,-0.0030751624869734644,32.02,-142.02,-142.07
gen_anomalous_3,202411,2.9555288217181155,-0.004887128330883842,34.98,-144.98,-144.98
gen_anomalous_3,202412,11.260531791408745,-0.0021393619775098706,46.24,-156.24,-156.34
gen_anomalous_3,202501,11.260531791408745,0.0011475477894181312,57.5,-167.5,-167.6
gen_anomalous_3,202502,11.260531791408745,-0.0012059150049999574,68.76,-178.76,-178.98
gen_anomalous_3,202503,11.260531791408745,-0.0021145858569464457,80.02,-190.02,-190.11
gen_anomalous_4,202401,1.3199444784158074,-0.002957811041110252,-8.68,-101.32,-101.48
gen_anomalous_4,202402,1.3649830474511235,-0.0019505501759695988,-7.32,-102.68,-102.74
gen_anomalous_4,202403,-1.428191316075714,-0.003529223322374318,-8.74,-101.26,-101.39
gen_anomalous_4,202404,-1.5088353067634441,-0.0013611590802176331,-10.25,-99.75,-99.82
gen_anomalous_4,202405,12.897897441824462,-0.0017460740415994169,2.65,-112.65,-112.79
gen_anomalous_4,202406,1.2997548806912103,0.00371025744736913,3.95,-113.95,-114.02
